t,fe0,fe3,x,y,z,b,vel,spindle_on,spindle_rpm
30.937,0.005000,0.004400,-3729.3750,-1241.9920,-159.2540,49789.326,0.6350,1,5675
31.137,0.005000,0.004400,-3729.3750,-1241.8680,-159.2553,49798.974,0.6350,1,5675
31.339,0.005000,0.004400,-3729.3750,-1241.7360,-159.2553,49808.816,0.6350,1,5675
31.540,0.005000,-0.000600,-3729.3750,-1241.6080,-159.2553,49818.268,0.6350,1,5675
31.741,0.005000,-0.000600,-3729.3750,-1241.4760,-159.2553,49828.158,0.6350,1,5675
31.944,0.005000,-0.000600,-3729.3750,-1241.3520,-159.2553,49837.901,0.6350,1,5675
32.145,0.010000,-0.000600,-3729.3800,-1241.2280,-159.2553,49847.357,0.6350,1,5675
32.349,0.005000,-0.000600,-3729.3750,-1241.1040,-159.2553,49856.861,0.6350,1,5675
32.549,0.005000,-0.000600,-3729.3750,-1240.9720,-159.2566,49866.798,0.6350,1,5675
32.749,0.005000,-0.000600,-3729.3750,-1240.8400,-159.2566,49876.590,0.6350,1,5675
32.950,0.000000,-0.000600,-3729.3700,-1240.7160,-159.2566,49885.853,0.6350,1,5675
33.151,0.000000,-0.000600,-3729.3700,-1240.5880,-159.2553,49895.692,0.6350,1,5675
33.351,0.000000,0.004400,-3729.3700,-1240.4600,-159.2566,49905.485,0.6350,1,5675
33.551,-0.005000,0.004400,-3729.3650,-1240.3360,-159.2566,49914.749,0.6350,1,5675
33.752,-0.005000,0.004400,-3729.3650,-1240.2040,-159.2578,49924.494,0.6350,1,5675
33.952,-0.005000,-0.000600,-3729.3650,-1240.0720,-159.2578,49934.334,0.6350,1,5675
34.153,-0.005000,-0.000600,-3729.3650,-1239.9480,-159.2566,49943.694,0.6350,1,5675
34.353,0.000000,-0.000600,-3729.3700,-1239.8200,-159.2566,49953.630,0.6350,1,5675
34.554,0.005000,-0.000600,-3729.3750,-1239.7000,-159.2578,49962.893,0.6350,1,5675
34.754,0.005000,-0.000600,-3729.3750,-1239.5720,-159.2578,49972.639,0.6350,1,5675
34.955,0.005000,-0.000600,-3729.3750,-1239.4400,-159.2578,49982.525,0.6350,1,5675
35.155,0.005000,-0.000600,-3729.3750,-1239.3200,-159.2578,49991.741,0.6350,1,5675
35.356,0.005000,-0.000600,-3729.3750,-1239.1880,-159.2578,50001.485,0.6350,1,5675
35.557,0.000000,-0.000600,-3729.3700,-1239.0600,-159.2578,50011.230,0.6350,1,5675
35.757,0.000000,-0.000600,-3729.3700,-1238.9280,-159.2578,50020.973,0.6350,1,5675
35.957,0.000000,-0.000600,-3729.3700,-1238.8080,-159.2578,50030.238,0.6350,1,5675
36.158,-0.005000,-0.000600,-3729.3650,-1238.6800,-159.2578,50039.982,0.6350,1,5675
36.358,0.000000,0.004400,-3729.3700,-1238.5520,-159.2591,50049.820,0.6350,1,5675
36.559,-0.005000,0.004400,-3729.3650,-1238.4240,-159.2578,50059.133,0.6350,1,5675
36.759,-0.005000,-0.000600,-3729.3650,-1238.3000,-159.2553,50068.829,0.6350,1,5675
36.959,-0.005000,-0.000600,-3729.3650,-1238.1680,-159.2540,50078.525,0.6350,1,5675
37.160,-0.010000,-0.005600,-3729.3600,-1238.0280,-159.2477,50088.364,0.6350,1,5675
37.361,-0.010000,-0.005600,-3729.3600,-1237.9040,-159.2464,50097.581,0.6350,1,5675
37.561,-0.005000,-0.000600,-3729.3650,-1237.7800,-159.2489,50107.326,0.6350,1,5675
37.762,-0.005000,-0.000600,-3729.3650,-1237.6520,-159.2489,50116.829,0.6350,1,5675
37.962,0.000000,0.004400,-3729.3700,-1237.5240,-159.2502,50126.573,0.6350,1,5675
38.163,0.000000,0.004400,-3729.3700,-1237.3960,-159.2502,50136.269,0.6350,1,5675
38.363,-0.005000,0.004400,-3729.3650,-1237.2680,-159.2502,50146.108,0.6350,1,5675
38.564,0.000000,0.004400,-3729.3700,-1237.1440,-159.2515,50155.326,0.6350,1,5675
38.765,0.000000,0.004400,-3729.3700,-1237.0160,-159.2528,50165.070,0.6350,1,5675
38.965,0.000000,0.004400,-3729.3700,-1236.8920,-159.2540,50174.862,0.6350,1,5675
39.165,0.005000,0.004400,-3729.3750,-1236.7680,-159.2540,50184.221,0.6350,1,5675
39.366,0.005000,-0.000600,-3729.3750,-1236.6400,-159.2553,50193.966,0.6350,1,5675
