t,fe0,fe3,ex,ew,ux,uw,x,y,z,b,vel,spindle_on,spindle_rpm
14.733,0.005000,-0.000600,+0.0000000,-0.0006000,+1.067518,+0.893121,-3729.3750,-1022.3080,-159.2528,66395.790,0.6350,1,5675
14.834,0.000000,-0.000600,+0.0000000,-0.0006000,+1.067518,+0.893121,-3729.3700,-1022.2440,-159.2528,66400.782,0.6350,1,5675
14.935,0.000000,-0.000600,+0.0000000,-0.0006000,+1.067518,+0.893121,-3729.3700,-1022.1760,-159.2528,66405.772,0.6350,1,5675
15.037,0.000000,-0.000600,+0.0000000,-0.0006000,+1.067518,+0.893121,-3729.3700,-1022.1160,-159.2528,66410.240,0.6350,1,5675
15.139,0.000000,-0.000600,+0.0000000,-0.0006000,+1.067518,+0.893121,-3729.3700,-1022.0520,-159.2515,66415.228,0.6350,1,5675
15.240,0.000000,-0.000600,+0.0000000,-0.0006000,+1.067518,+0.893121,-3729.3700,-1021.9800,-159.2515,66420.364,0.6350,1,5675
15.345,0.000000,-0.000600,+0.0000000,-0.0006000,+1.067518,+0.893121,-3729.3700,-1021.9160,-159.2515,66425.259,0.6350,1,5675
15.446,0.000000,-0.000600,+0.0000000,-0.0006000,+1.067518,+0.893121,-3729.3700,-1021.8520,-159.2515,66430.206,0.6350,1,5675
15.547,0.000000,-0.000600,+0.0000000,-0.0006000,+1.067518,+0.893121,-3729.3700,-1021.7920,-159.2515,66434.909,0.6350,1,5675
15.650,0.000000,0.004400,+0.0000000,-0.0006000,+1.067518,+0.893121,-3729.3700,-1021.7240,-159.2515,66439.855,0.6350,1,5675
15.751,0.000000,0.004400,+0.0000000,-0.0006000,+1.067518,+0.893121,-3729.3700,-1021.6640,-159.2515,66444.557,0.6350,1,5675
15.851,0.000000,-0.000600,+0.0000000,-0.0006000,+1.067518,+0.893121,-3729.3700,-1021.5960,-159.2515,66449.501,0.6350,1,5675
15.955,0.000000,-0.000600,+0.0000000,-0.0006000,+1.067518,+0.893121,-3729.3700,-1021.5320,-159.2515,66454.397,0.6350,1,5675
16.057,0.000000,-0.000600,+0.0000000,-0.0006000,+1.067518,+0.893121,-3729.3700,-1021.4600,-159.2515,66459.628,0.6350,1,5675
16.159,0.000000,0.004400,+0.0000000,+0.0044000,+1.067518,+0.893121,-3729.3700,-1021.3960,-159.2528,66464.479,0.6350,1,5675
16.264,0.000000,0.004400,+0.0000000,+0.0044000,+1.067518,+0.893121,-3729.3700,-1021.3320,-159.2528,66469.470,0.6350,1,5675
16.365,-0.010000,-0.005600,-0.0100000,-0.0056000,+0.987742,+0.883529,-3729.3600,-1021.2640,-159.2489,66474.029,0.6350,1,5675
16.469,-0.005000,-0.000600,-0.0050000,-0.0056000,+1.066168,+0.883189,-3729.3650,-1021.1960,-159.2489,66479.405,0.6350,1,5675
16.572,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.066168,+0.892709,-3729.3650,-1021.1360,-159.2489,66484.399,0.6350,1,5675
16.675,-0.005000,0.004400,+0.0000000,+0.0044000,+1.066168,+0.892709,-3729.3650,-1021.0680,-159.2489,66489.292,0.6350,1,5675
16.778,0.000000,0.004400,+0.0000000,+0.0044000,+1.066168,+0.892709,-3729.3700,-1021.0040,-159.2489,66494.236,0.6350,1,5675
16.880,0.005000,0.009400,+0.0050000,+0.0094000,+1.066168,+0.962741,-3729.3750,-1020.9400,-159.2502,66499.181,0.6350,1,5675
16.983,0.005000,0.004400,+0.0050000,+0.0044000,+1.066168,+0.893161,-3729.3750,-1020.8720,-159.2502,66504.124,0.6350,1,5675
17.086,0.005000,0.004400,+0.0050000,+0.0044000,+1.066168,+0.893161,-3729.3750,-1020.8080,-159.2489,66509.021,0.6350,1,5675
17.187,0.005000,0.004400,+0.0050000,+0.0044000,+1.066168,+0.893161,-3729.3750,-1020.7480,-159.2489,66513.629,0.6350,1,5675
17.288,0.005000,0.004400,+0.0050000,+0.0044000,+1.066168,+0.893161,-3729.3750,-1020.6840,-159.2489,66518.574,0.6350,1,5675
17.389,0.005000,-0.000600,+0.0050000,-0.0006000,+1.066554,+0.893161,-3729.3750,-1020.6160,-159.2489,66523.565,0.6350,1,5675
17.490,0.005000,-0.000600,+0.0050000,-0.0006000,+1.066972,+0.893161,-3729.3750,-1020.5520,-159.2477,66528.413,0.6350,1,5675
17.590,0.005000,-0.000600,+0.0050000,-0.0006000,+1.067454,+0.893161,-3729.3750,-1020.4960,-159.2489,66532.878,0.6350,1,5675
17.693,0.005000,-0.000600,+0.0100000,-0.0006000,+1.147229,+0.893161,-3729.3750,-1020.4280,-159.2489,66537.774,0.6350,1,5675
17.794,0.005000,-0.000600,+0.0100000,-0.0006000,+1.147744,+0.893161,-3729.3750,-1020.3640,-159.2489,66542.668,0.6350,1,5675
17.896,0.005000,-0.000600,+0.0050000,-0.0006000,+1.068579,+0.893161,-3729.3750,-1020.3000,-159.2489,66547.565,0.6350,1,5675
17.997,0.005000,0.004400,+0.0050000,-0.0006000,+1.068579,+0.893161,-3729.3750,-1020.2320,-159.2489,66552.653,0.6350,1,5675
18.098,0.005000,-0.000600,+0.0050000,-0.0006000,+1.068675,+0.893161,-3729.3750,-1020.1640,-159.2502,66557.601,0.6350,1,5675
18.200,0.005000,-0.000600,+0.0050000,-0.0006000,+1.068675,+0.893161,-3729.3750,-1020.1040,-159.2502,66562.109,0.6350,1,5675
18.301,0.005000,-0.000600,+0.0050000,-0.0006000,+1.068675,+0.893161,-3729.3750,-1020.0360,-159.2502,66567.150,0.6350,1,5675
18.404,0.005000,-0.000600,+0.0050000,-0.0006000,+1.068675,+0.893161,-3729.3750,-1019.9640,-159.2489,66572.336,0.6350,1,5675
18.505,0.005000,-0.000600,+0.0050000,-0.0006000,+1.068675,+0.893161,-3729.3750,-1019.9040,-159.2489,66576.844,0.6350,1,5675
