# t ex ey ez ew A C jx jy jz
1786079821.805 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079821.967 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079822.125 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079822.285 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079822.444 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079822.601 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079822.777 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079822.944 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079823.103 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079823.261 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079823.421 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079823.579 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079823.744 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079823.907 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079824.068 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079824.229 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079824.388 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079824.558 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079824.719 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079824.879 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079825.041 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079825.204 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079825.366 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079825.530 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079825.694 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079825.855 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079826.016 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079826.176 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079826.339 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079826.499 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079826.658 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079826.818 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079826.977 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079827.138 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079827.296 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079827.462 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079827.621 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079827.784 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079827.942 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079828.101 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079828.258 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079828.416 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079828.578 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079828.737 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079828.899 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079829.061 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079829.219 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079829.381 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079829.541 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079829.701 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079829.860 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079830.020 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079830.181 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079830.339 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079830.500 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079830.659 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079830.819 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079830.978 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079831.137 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079831.297 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079831.460 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079831.619 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079831.780 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079831.942 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079832.100 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079832.260 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079832.418 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079832.580 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079832.742 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079832.903 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079833.064 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079833.224 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079833.389 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079833.548 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
1786079833.704 0 3.552714e-15 0 0 61.58656 -83.07084 -621.52 -367.152 -207.18 
