# t_epoch pid.x.err pid.y.err pid.z.err pid.w.err joint2.ferr joint2.posfb joint4.posfb
1786041474.587 -0.01027781 -0.01359044 -0.008715394 -0.007878021 -0.008715394 -428.2553 -9.592583 
1786041474.748 -0.01031241 -0.009441935 -0.009794895 -0.007912626 -0.009987876 -429.4427 -10.79994 
1786041474.911 -0.01034731 -0.009071382 -0.009092361 -0.01294731 -0.009092361 -430.7801 -12.01489 
1786041475.078 -0.01038247 -0.009696082 -0.009361268 -0.007982681 -0.009445306 -432.3041 -13.26745 
1786041475.245 -0.005418085 -0.01125153 -0.01038224 -0.008018085 -0.01038224 -433.9652 -14.51263 
1786041475.411 -0.005453501 -0.01142099 -0.009448292 -0.008053501 -0.009448292 -435.7966 -15.77235 
1786041475.585 -0.005488906 -0.005717646 -0.01106955 -0.008089114 -0.01106955 -437.7981 -17.04742 
1786041475.745 -0.005523449 -0.01226838 -0.01041441 -0.008123449 -0.01041441 -439.8872 -18.28494 
1786041475.905 -0.01055651 -0.006036189 -0.01014379 -0.00815651 -0.01014379 -442.0475 -19.48485 
1786041476.067 -0.005568249 -0.04405017 0.006959193 -0.003168249 0.006959193 -442.9784 -19.9132 
1786041476.234 0.009431751 -5.017433e-05 0.009092224 0.01183175 0.009092224 -443.5372 -19.9132 
1786041476.397 0.009431751 0.007949826 0.008525263 0.01183175 0.008525263 -444.0833 -19.9132 
1786041476.560 0.009431751 0.01194983 0.007481637 0.01183175 0.007481637 -444.6256 -19.9132 
1786041476.721 0.01443175 0.01194983 0.008818015 0.01183175 0.008818015 -445.1603 -19.9132 
1786041476.881 0.009431751 0.01194983 0.008091059 0.01183175 0.008091059 -445.6962 -19.9132 
1786041477.043 0.009431751 0.007949826 0.02210089 0.01183175 0.02210089 -446.0273 -19.9132 
1786041477.211 0.009431751 0.01194983 0.004247679 0.01183175 0.004247679 -445.7813 -19.9132 
1786041477.374 0.01443175 0.01194983 0.008997662 0.01183175 0.008997662 -445.813 -19.9132 
1786041477.532 0.009431751 0.007949826 0.008834314 0.01183175 0.008834314 -445.8397 -19.9132 
1786041477.689 0.01443175 0.01194983 0.008067634 0.01183175 0.008067634 -445.8651 -19.9132 
1786041477.846 0.009431751 0.007949826 0.008570953 0.01183175 0.008570953 -445.8918 -19.9132 
1786041478.006 0.009431751 0.01194983 0.009308163 0.006831751 0.009308163 -445.9136 -19.9132 
1786041478.173 0.009431751 0.01194983 0.02886791 0.006831751 0.02886791 -445.376 -19.9132 
1786041478.337 0.00943555 -0.1176034 0.03125115 0.00703555 0.03125115 -443.0455 -19.77457 
1786041478.495 -0.01053176 -0.02580089 -0.01239953 -0.007931756 -0.01239953 -440.4141 -18.58581 
1786041478.665 -0.01549769 -0.01638732 -0.01015831 -0.01289769 -0.01015831 -438.3059 -17.35577 
1786041478.842 -0.01046192 -0.01537606 -0.008573059 -0.007861711 -0.008573059 -436.2218 -16.05069 
1786041479.024 -0.01542275 -0.01147837 -0.00911458 -0.01282275 -0.00911458 -434.1987 -14.67835 
1786041479.203 -0.01038376 -0.01833522 -0.008232562 -0.01278376 -0.008232562 -432.3445 -13.2982 
1786041479.371 -0.01034818 -0.01008855 -0.008048122 -0.007748181 -0.008048122 -430.8167 -12.04556 
1786041479.535 -0.01031265 -0.01664634 -0.008377348 -0.01271265 -0.008183867 -429.4375 -10.79317 
1786041479.700 -0.01527718 -0.01426575 -0.008473059 -0.01267718 -0.008473059 -428.2284 -9.56335 
1786041479.859 -0.01024245 -0.01150416 -0.007892518 -0.007642448 -0.007892518 -427.1832 -8.355772 
1786041480.017 -0.01020826 -0.01315366 -0.006713507 -0.007608259 -0.006713507 -426.2942 -7.170751 
1786041480.174 -0.0101742 -0.01033396 -0.007954759 -0.007574198 -0.007954759 -425.5424 -5.993214 
1786041480.331 -0.01014006 -0.01356521 -0.007144778 -0.007540063 -0.007144778 -424.9264 -4.815815 
1786041480.495 -0.01010456 -0.009855407 -0.007811672 -0.01250456 -0.007811672 -424.4273 -3.593136 
1786041480.662 -0.01006836 -0.01226023 -0.007128392 -0.01246836 -0.007128392 -424.0692 -2.348319 
1786041480.834 -0.01003125 -0.01163869 -0.007545052 -0.007431249 -0.007545052 -423.8571 -1.073261 
1786041480.995 -0.005000022 0.1364323 -0.006259008 -0.007400022 -0.006259008 -423.8025 -0.00074451 
1786041481.164 0.005 0.0203 0.001361018 0.0076 0.002631017 -423.8114 1.477024e-08 
1786041481.337 0.015 0.0123 0.007711015 0.0126 0.007711015 -423.8164 1.477024e-08 
1786041481.514 0.015 0.0163 0.007711015 0.0076 0.007711015 -423.8164 1.477024e-08 
1786041481.686 0.01 0.0123 0.007711015 0.0076 0.007711015 -423.8164 1.477024e-08 
1786041481.851 0.009999659 0.0493718 0.002984359 0.007799659 0.002984359 -423.8117 -0.01165635 
1786041482.017 0.009999518 0.01226443 -0.002835787 0.007399518 -0.002835787 -424.2103 -0.01650001 
1786041482.193 0.009999518 0.01226443 0.002950567 0.01239952 0.002950567 -424.7895 -0.01650001 
1786041482.372 0.009999518 0.008264427 0.00715357 0.01239952 0.00715357 -425.4003 -0.01650001 
1786041482.543 0.009999518 0.01226443 0.007383263 0.007399518 0.007383263 -425.9706 -0.01650001 
1786041482.714 0.009999518 0.01226443 0.00681962 0.01239952 0.00681962 -426.5433 -0.01650001 
1786041482.894 0.009999518 0.008264427 0.01574606 0.007399518 0.01527606 -426.9599 -0.01650001 
1786041483.078 0.009999518 0.01226443 -0.0001037909 0.007399518 -0.0001037909 -426.6868 -0.01650001 
1786041483.273 0.009999518 0.008264427 0.004559523 0.007399518 0.004559523 -426.7237 -0.01650001 
1786041483.450 0.009999518 0.008264427 0.005976172 0.007399518 0.005976172 -426.7554 -0.01650001 
1786041483.648 0.009999518 0.008264427 0.006559488 0.007399518 0.006559488 -426.7872 -0.01650001 
1786041483.830 0.009999518 0.01226443 0.006476138 0.007399518 0.006476138 -426.8189 -0.01650001 
1786041484.028 0.009999518 0.008264427 0.006159478 0.01239952 0.006159478 -426.8314 -0.01650001 
1786041484.217 0.009999518 0.008264427 0.0186802 0.01239952 0.0186802 -425.4928 -0.01650001 
1786041484.414 0.009999626 -0.0106282 -0.02439026 0.01144966 -0.02439026 -423.786 -0.01043815 
1786041484.606 0.005 0.0083 -0.004988979 0.0076 -0.004988979 -423.8037 9.541763e-09 
1786041484.794 0.01 0.0083 -0.00244898 0.0076 -0.00244898 -423.8063 9.541763e-09 
1786041484.980 1.444556e-05 -0.07639895 -0.005641445 -0.002385336 -0.005641445 -423.8154 0.502374 
1786041485.153 -0.01494529 -0.02033801 -0.009400693 -0.01734529 -0.009400693 -423.9703 1.875033 
1786041485.330 -0.009907245 -0.01465524 -0.01010943 -0.01230724 -0.01010943 -424.2904 3.179832 
1786041485.524 -0.009865537 -0.01617858 -0.009060865 -0.01226554 -0.009060865 -424.8339 4.612469 
1786041485.703 -0.009825655 -0.01464902 -0.008653111 -0.01222544 -0.008653111 -425.5451 5.992446 
1786041485.892 -0.009785439 -0.0152361 -0.009886621 -0.01218522 -0.009886621 -426.4443 7.379929 
1786041486.083 -0.009743186 -0.01155715 -0.009288739 -0.01214319 -0.009288739 -427.5885 8.83489 
1786041486.255 -0.009704977 -0.0180503 -0.01084116 -0.01210476 -0.01084116 -428.8154 10.16991 
1786041486.439 -0.009668428 -0.01020122 -0.009823857 -0.007067999 -0.009231199 -430.1578 11.45258 
1786041486.628 -0.009625641 -0.01297209 -0.01004999 -0.01202564 -0.01052163 -431.9142 12.94497 
1786041486.823 -0.009586291 -0.01233186 -0.01009732 -0.01198629 -0.01009732 -433.7277 14.32486 
1786041486.986 -0.009548869 -0.0113908 -0.00975303 -0.01194887 -0.00975303 -435.6416 15.65243 
1786041487.146 -0.009515459 -0.008306788 -0.0101904 -0.01191546 -0.0101904 -437.5009 16.84504 
1786041487.308 -0.009481842 -0.01262903 -0.01016932 -0.006881842 -0.01016932 -439.5189 18.05236 
1786041487.482 -0.009445976 -0.01041831 -0.00972607 -0.00684577 -0.00972607 -441.8519 19.35752 
1786041487.670 -0.004428567 0.05669177 0.009647497 -0.001828567 0.009647497 -443.1702 19.9835 
1786041487.895 0.02057143 0.02469177 0.0113271 0.01817143 0.0113271 -443.9118 19.9835 
1786041488.089 0.02057143 0.02069177 0.01093672 0.01817143 0.01093672 -444.6015 19.9835 
1786041488.262 0.01557143 0.02069177 0.01100974 0.01817143 0.01100974 -445.1882 19.9835 
1786041488.455 0.01557143 0.02069177 0.01076941 0.01817143 0.01140606 -445.8219 19.9835 
1786041488.643 0.01557143 0.02069177 0.02492589 0.01817143 0.02492589 -446.1718 19.9835 
1786041488.816 0.02057143 0.02069177 0.00855266 0.01817143 0.00855266 -445.954 19.9835 
1786041488.989 0.01557143 0.01669177 0.01030264 0.01817143 0.01140598 -445.987 19.9835 
1786041489.154 0.01557143 0.01669177 0.009805962 0.01317143 0.009805962 -446.0124 19.9835 
1786041489.328 0.01557143 0.01669177 0.01051595 0.01817143 0.01051595 -446.0416 19.9835 
1786041489.503 0.01557143 0.01669177 0.01005926 0.01317143 0.01005926 -446.0708 19.9835 
1786041489.681 0.01057143 0.01669177 0.009882582 0.01317143 0.009882582 -446.0988 19.9835 
1786041489.884 0.01057143 0.01669177 0.03072626 0.01317143 0.03072626 -445.4864 19.9835 
1786041490.066 0.005562785 0.1076738 0.01859279 0.002962579 0.01859279 -442.6416 19.65371 
1786041490.242 -0.01447509 0.001595751 -0.0116218 -0.0120753 -0.0116218 -439.9277 18.28854 
1786041490.410 -0.01451034 -0.01070222 -0.01115542 -0.01711034 -0.01115542 -437.7979 17.02849 
1786041490.572 -0.01954435 -0.01112183 -0.01070386 -0.01714435 -0.01070386 -435.884 15.81345 
1786041490.730 -0.01457814 -0.01331207 -0.01074861 -0.01217814 -0.01074861 -434.1288 14.61355 
1786041490.895 -0.01461212 -0.0121618 -0.009176744 -0.01221212 -0.009176744 -432.5109 13.41353 
1786041491.067 -0.01464862 -0.01303296 -0.01007448 -0.01724862 -0.01007448 -430.9297 12.13108 
1786041491.261 -0.01469002 -0.01282465 -0.009577729 -0.01229002 -0.009577729 -429.3346 10.68371 
1786041491.435 -0.01472817 -0.01088145 -0.01005894 -0.01232817 -0.01005894 -428.0468 9.355945 
1786041491.612 -0.009766685 -0.01167801 -0.008744856 -0.01236668 -0.008744856 -426.9241 8.021169 
1786041491.776 -0.0148025 -0.01196051 -0.009147044 -0.0124025 -0.009147044 -426.0351 6.783604 
1786041491.939 -0.01483797 -0.009859055 -0.008083172 -0.01243797 -0.008083172 -425.3036 5.561084 
1786041492.097 -0.01487264 -0.00839542 -0.008194532 -0.01247264 -0.008194532 -424.7283 4.368564 
1786041492.261 -0.009907798 -0.008918898 -0.008262445 -0.0125078 -0.008262445 -424.2863 3.161122 
1786041492.425 -0.009944095 -0.01273063 -0.00826929 -0.0125441 -0.00826929 -423.979 1.916061 
1786041492.590 -0.01497998 -0.01509942 -0.007558877 -0.01257998 -0.007558877 -423.8241 0.6861227 
1786041492.750 -0.01 -0.0757 -0.006258978 -0.0076 -0.006258978 -423.8025 1.477024e-08 
1786041492.910 0.015 0.0043 0.01025101 0.0174 0.01025101 -423.819 1.477024e-08 
1786041493.077 0.02 0.0163 0.01152101 0.0174 0.01152101 -423.8203 1.477024e-08 
1786041493.250 0.015 0.0163 0.01152101 0.0174 0.01152101 -423.8203 1.477024e-08 
1786041493.416 -2.298113e-05 0.03737315 0.0006068643 -0.002622981 0.0006068643 -423.8395 -0.7876528 
1786041493.591 -0.01005952 -0.002179273 -0.009284838 -0.01265974 -0.009284838 -424.0033 -2.047565 
1786041493.764 -0.01009909 -0.01675521 -0.009744305 -0.01269931 -0.009744305 -424.3627 -3.40492 
1786041493.935 -0.01013599 -0.00756582 -0.009865468 -0.01273621 -0.009457941 -424.8606 -4.672591 
1786041494.110 -0.01017391 -0.009474315 -0.009555418 -0.01277391 -0.009555418 -425.5311 -5.969963 
1786041494.286 -0.01021261 -0.0107562 -0.009803488 -0.007812607 -0.009803488 -426.3909 -7.305113 
1786041494.465 -0.01025032 -0.007398488 -0.009611769 -0.007850324 -0.009611769 -427.398 -8.609962 
1786041494.640 -0.01028899 -0.01096471 -0.009878607 -0.007888988 -0.009878607 -428.6045 -9.952566 
1786041494.809 -0.01032556 -0.00980587 -0.00902446 -0.01292556 -0.00902446 -429.9114 -11.22744 
1786041494.973 -0.01036069 -0.01632162 -0.01001438 -0.01296069 -0.01001438 -431.3173 -12.45772 
1786041495.148 -0.01039715 -0.006310977 -0.0104871 -0.007997359 -0.0104871 -432.9467 -13.74751 
1786041495.316 -0.01043361 -0.009929389 -0.01003267 -0.01303361 -0.01003267 -434.7234 -15.02995 
1786041495.486 -0.01046923 -0.007885477 -0.009819286 -0.008069227 -0.009819286 -436.6309 -16.2973 
1786041495.654 -0.01050399 -0.009262847 -0.01119193 -0.008104196 -0.01119193 -438.6617 -17.54993 
1786041495.836 -0.01054141 -0.01021243 -0.01023068 -0.008141409 -0.01023068 -441.0023 -18.89238 
1786041496.006 -0.01057233 -0.1407564 0.03616035 -0.00817233 0.03616035 -443.1346 -20.01623 
1786041496.175 0.01442766 -0.00325518 0.01107325 0.01682766 0.01027992 -443.5537 -20.0165 
1786041496.339 0.01942766 0.01674482 0.01082296 0.01682766 0.01082296 -444.0909 -20.0165 
1786041496.501 0.01942766 0.01674482 0.01073266 0.02182766 0.01073266 -444.6408 -20.0165 
1786041496.670 0.01442766 0.01674482 0.01080236 0.01682766 0.01080236 -445.2009 -20.0165 
1786041496.832 0.01442766 0.01674482 0.01102873 0.01682766 0.01102873 -445.7445 -20.0165 
1786041497.004 0.01442766 0.01674482 0.0206018 0.01682766 0.0206018 -446.2296 -20.0165 
1786041497.213 0.01442766 0.01274482 0.002291944 0.01682766 0.002291944 -445.975 -20.0165 
1786041497.380 0.01442766 0.01674482 0.01100192 0.01682766 0.01100192 -446.0137 -20.0165 
1786041497.545 0.01942766 0.01674482 0.01017191 0.01682766 0.01017191 -446.0404 -20.0165 
1786041497.711 0.01442766 0.01674482 0.01077856 0.01682766 0.01077856 -446.0683 -20.0165 
1786041497.877 0.01442766 0.01674482 0.01055188 0.01682766 0.01055188 -446.0962 -20.0165 
1786041498.043 0.01442766 0.01274482 0.0100552 0.01682766 0.0100552 -446.1229 -20.0165 
1786041498.213 0.01442766 0.01674482 0.01043188 0.01682766 0.01043188 -446.1202 -20.0165 
1786041498.385 0.009427662 0.01274482 0.01849932 0.01182766 0.01849932 -444.6711 -20.0165 
1786041498.564 -0.005551724 -0.05912576 -0.01536816 -0.007951311 -0.01536816 -441.6536 -19.25139 
1786041498.728 -0.01551584 -0.0211255 -0.01105758 -0.01291563 -0.01105758 -439.3612 -17.9615 
1786041498.895 -0.01548158 -0.02070303 -0.01115879 -0.01788158 -0.01115879 -437.3292 -16.73905 
1786041499.064 -0.01544562 -0.02042541 -0.01038367 -0.01284562 -0.01038367 -435.348 -15.45652 
1786041499.226 -0.01041114 -0.01859549 -0.009655765 -0.01281114 -0.009655765 -433.6031 -14.23412 
1786041499.389 -0.01037689 -0.02305612 -0.009925268 -0.01277689 -0.009925268 -432.0168 -13.02647 
1786041499.549 -0.01534226 -0.01640208 -0.009006821 -0.01274226 -0.009342935 -430.5525 -11.804 
1786041499.722 -0.01030641 -0.01659985 -0.009948415 -0.01270641 -0.009948415 -429.2063 -10.55906 
1786041499.899 -0.01526846 -0.01332306 -0.009754544 -0.01266824 -0.009754544 -427.9351 -9.231263 
1786041500.111 -0.01022473 -0.01147862 -0.009341825 -0.01262473 -0.009341825 -426.6968 -7.723373 
1786041500.275 -0.01518563 -0.01079577 -0.008006975 -0.01258563 -0.008006975 -425.7748 -6.37406 
1786041500.440 -0.01514992 -0.01559344 -0.008446105 -0.01254992 -0.008446105 -425.0864 -5.144083 
1786041500.601 -0.01511457 -0.01417758 -0.00877604 -0.01251457 -0.00877604 -424.5505 -3.928947 
1786041500.787 -0.01507677 -0.01168108 -0.008358312 -0.01247655 -0.008358312 -424.1352 -2.623883 
1786041500.978 -0.01003214 -0.0167559 -0.00812173 -0.01243214 -0.00812173 -423.8596 -1.101394 
1786041501.146 -0.01000003 0.1346929 -0.006259047 -0.007400033 -0.006259001 -423.8025 -0.0006408659 
1786041501.306 0.005 0.0243 9.101872e-05 0.0026 9.101873e-05 -423.8088 -1.660063e-08 
