sec,B,line
43.271,219.1749,78
43.321,219.3718,78
43.372,219.5690,78
43.422,219.7666,78
43.473,219.9605,78
43.523,220.1543,78
43.573,220.3519,78
43.624,220.5456,78
43.675,220.7425,78
43.725,220.9394,78
43.779,221.1362,78
43.829,221.3332,78
43.879,221.5262,78
43.929,221.7240,78
43.979,221.9179,78
44.029,222.1155,78
44.080,222.3133,78
44.130,222.5069,78
44.180,222.7039,78
44.231,222.8969,78
44.281,223.0938,78
44.331,223.2908,78
44.381,223.4837,78
44.431,223.6814,78
44.481,223.8791,78
44.531,224.0458,78
44.582,224.2396,78
44.632,224.4372,78
44.682,224.6344,78
44.733,224.8312,78
44.783,225.0281,78
44.833,225.2213,78
44.884,225.4181,78
44.934,225.6118,78
44.984,225.8132,78
45.034,226.0069,78
45.085,226.2124,78
45.135,226.4101,78
45.185,226.5648,78
45.235,226.7657,78
45.285,226.9201,78
45.336,227.1556,78
45.386,227.3564,78
45.436,227.5535,78
45.487,227.7473,78
45.537,227.9450,78
45.587,228.1387,78
45.637,228.3364,78
45.687,228.5378,78
45.738,228.7308,78
45.789,228.8853,78
45.839,229.1208,78
45.889,229.3177,78
45.940,229.5147,78
45.990,229.7124,78
46.040,229.9101,78
46.091,230.1077,78
46.141,230.3016,78
46.191,230.4992,78
46.241,230.6923,78
46.291,230.8893,78
46.341,231.0513,78
46.392,231.2444,78
46.442,231.4374,78
46.492,231.6349,78
46.543,231.8365,78
46.593,232.0302,78
46.643,232.2318,78
46.693,232.4255,78
46.744,232.6228,78
46.794,232.8234,78
46.844,233.0204,78
46.895,233.2175,78
46.945,233.4145,78
46.995,233.6116,78
47.045,233.7705,78
47.096,233.9645,78
47.146,234.1620,78
47.196,234.3558,78
47.247,234.5533,78
47.297,234.7463,78
47.347,234.9434,78
47.397,235.1363,78
47.448,235.3332,78
47.498,235.5265,78
47.548,235.7279,78
47.599,235.9216,78
47.649,236.1194,78
47.700,236.3209,78
47.750,236.5185,78
47.800,236.7154,78
47.850,236.9085,78
47.900,237.1054,78
47.952,237.2984,78
48.002,237.4992,78
48.053,237.6970,78
48.103,237.8597,78
48.153,238.0573,78
48.204,238.2550,78
48.254,238.4488,78
48.304,238.6459,78
48.354,238.8390,78
48.404,239.0359,78
48.454,239.2289,78
48.504,239.4259,78
48.555,239.6233,78
48.607,239.8209,78
48.657,240.0226,78
48.707,240.2240,78
48.757,240.4178,78
48.808,240.6150,78
48.858,240.8119,78
48.908,241.0050,78
48.958,241.2058,78
49.009,241.3603,78
49.059,241.5573,78
49.109,241.7511,78
49.160,241.9488,78
49.210,242.1426,78
49.260,242.3403,78
49.310,242.5378,78
49.360,242.7348,78
49.410,242.9278,78
49.461,243.1247,78
49.511,243.3216,78
49.561,243.5147,78
49.611,243.7124,78
49.662,243.9062,78
49.712,244.1038,78
49.762,244.3016,78
49.812,244.4992,78
49.862,244.6923,78
49.913,244.8891,78
49.963,245.0436,78
50.013,245.2482,78
50.064,245.4531,78
50.114,245.6465,78
50.164,245.8520,78
50.214,246.0457,78
