# t_epoch pid.x.err pid.y.err pid.z.err pid.w.err joint2.ferr joint2.posfb joint4.posfb j2.blash-filt j3.blash-filt
1786042783.132 -0.005 -0.008 -0.006349997 -0.005 -0.006349997 -423.7974 -0.0088 0 -0.0126 
1786042783.290 -0.005 -0.008 -0.006349997 -0.01 -0.006349997 -423.7974 -0.0088 0 -0.0126 
1786042783.451 -0.01 -0.008 -0.006349997 -0.01 -0.006349997 -423.7974 -0.0088 0 -0.0126 
1786042783.622 -0.01 -0.008 -0.006349997 -0.01 -0.006349997 -423.7974 -0.0088 0 -0.0126 
1786042783.816 -0.005 -0.008 -0.006349997 -0.01 -0.006349997 -423.7974 -0.0088 0 -0.0126 
1786042783.989 -0.01 -0.012 -0.006349997 -0.01 -0.006349997 -423.7974 -0.0088 0 -0.0126 
1786042784.157 -0.01 -0.008 -0.006349997 -0.01 -0.006349997 -423.7974 -0.0088 0 -0.0126 
1786042784.322 -0.01 -0.008 -0.006349997 -0.01 -0.006349997 -423.7974 -0.0088 0 -0.0126 
1786042784.487 -0.005 -0.008 -0.005079997 -0.01 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042784.654 -0.01 -0.008 -0.005079997 -0.005 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042784.823 -0.005 -0.008 -0.005079997 -0.005 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042784.989 -0.01 -0.008 -0.005079997 -0.005 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042785.149 -0.005 -0.004 -0.005079997 -0.005 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042785.309 -0.005 -0.004 -0.005079997 -0.005 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042785.471 -0.01 -0.004 -0.005079997 -0.005 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042785.634 -0.005 -0.004 -0.003809998 -0.005 -0.003809998 -423.7999 -0.0088 0 -0.0126 
1786042785.792 -0.005 -0.004 -0.003809998 -0.005 -0.003809998 -423.7999 -0.0088 0 -0.0126 
1786042785.950 -0.005 -0.004 -0.001269999 -0.005 -0.001269999 -423.8024 -0.0088 0 -0.0126 
1786042786.109 -0.005 -0.004 0.001269999 -1.477984e-14 0.001269999 -423.805 -0.0088 0 -0.0126 
1786042786.269 -0.005 1.891751e-13 0.003809998 -1.477984e-14 0.003809998 -423.8075 -0.0088 0 -0.0126 
1786042786.432 -5.1157e-15 1.891751e-13 0.006349997 0.005 0.006349997 -423.81 -0.0088 0 -0.0126 
1786042786.599 -5.1157e-15 1.891751e-13 0.006349997 0.005 0.006349997 -423.81 -0.0088 0 -0.0126 
1786042786.765 -5.1157e-15 1.891751e-13 0.005079997 0.01 0.005079997 -423.8088 -0.0088 0 -0.0126 
1786042786.926 0.005 1.891751e-13 0.005079997 0.005 0.005079997 -423.8088 -0.0088 0 -0.0126 
1786042787.095 0.005 1.891751e-13 0.005079997 0.005 0.005079997 -423.8088 -0.0088 0 -0.0126 
1786042787.261 0.005 1.891751e-13 0.005079997 0.005 0.005079997 -423.8088 -0.0088 0 -0.0126 
1786042787.432 0.005 1.891751e-13 0.005079997 0.005 0.005079997 -423.8088 -0.0088 0 -0.0126 
1786042787.607 -5.1157e-15 1.891751e-13 0.005079997 0.005 0.005079997 -423.8088 -0.0088 0 -0.0126 
1786042787.773 0.005 1.891751e-13 0.005079997 0.005 0.005079997 -423.8088 -0.0088 0 -0.0126 
1786042787.931 0.005 1.891751e-13 0.005079997 0.005 0.005079997 -423.8088 -0.0088 0 -0.0126 
1786042788.094 -5.1157e-15 -0.004 0.005079997 0.005 0.005079997 -423.8088 -0.0088 0 -0.0126 
1786042788.259 -5.1157e-15 -0.004 0.003809998 0.005 0.003809998 -423.8075 -0.0088 0 -0.0126 
1786042788.432 -5.1157e-15 -0.004 0.003809998 0.005 0.003809998 -423.8075 -0.0088 0 -0.0126 
1786042788.613 -5.1157e-15 -0.004 0.002539999 0.005 0.002539999 -423.8062 -0.0088 0 -0.0126 
1786042788.808 -5.1157e-15 -0.008 0.001269999 -1.477984e-14 0.001269999 -423.805 -0.0088 0 -0.0126 
1786042788.978 -5.1157e-15 -0.008 -0.001269999 -0.005 -0.001269999 -423.8024 -0.0088 0 -0.0126 
1786042789.138 -5.1157e-15 -0.004 -0.003809998 -0.005 -0.003809998 -423.7999 -0.0088 0 -0.0126 
1786042789.304 -0.005 -0.004 -0.005079997 -0.005 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042789.506 -5.1157e-15 -0.004 -0.005079997 -0.005 -0.006349997 -423.7986 -0.0088 0 -0.0126 
1786042789.687 -5.1157e-15 -0.004 -0.005079997 -0.005 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042789.866 -5.1157e-15 -0.004 -0.005079997 -0.005 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042790.035 -5.1157e-15 -0.004 -0.005079997 -0.005 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042790.199 -5.1157e-15 1.891751e-13 -0.005079997 -0.005 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042790.363 -5.1157e-15 1.891751e-13 -0.005079997 -0.005 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042790.538 -0.005 1.891751e-13 -0.005079997 -0.005 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042790.724 -0.005 1.891751e-13 -0.005079997 -0.005 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042790.894 -0.005 1.891751e-13 -0.005079997 -0.005 -0.005079997 -423.7986 -0.0088 0 -0.0126 
1786042791.056 -0.005 1.891751e-13 -0.005079997 -0.005 -0.005079997 -423.7986 -0.0088 0 -0.0126 
